序号,期刊名称,期刊简称,大类学科,2025年中科院分区,2026年中科院分区,影响因子,年文章数,出版机构,备注
1,IEEE Transactions on Neural Networks and Learning Systems,TNNLS,计算机科学,一区TOP,二区TOP,8.9,869,IEEE,
2,Advanced Engineering Informatics,AdvEI,工程技术,一区TOP,一区TOP,9.9,658,Elsevier,
3,Engineering Applications of Artificial Intelligence,EAAI,计算机科学,一区TOP,一区TOP,8,1909,Elsevier,
4,Expert Systems With Applications,ESWA,计算机科学,一区TOP,一区TOP,7.5 ,2925,Elsevier,
5,Knowledge-Based Systems,KBS,计算机科学,一区TOP,一区TOP,7.6,1354,Elsevier,
6,IEEE Internet of Things Journal,IEEE IoTJ,计算机科学,二区TOP,一区TOP,8.9,2984,IEEE,
7,IEEE Journal of Biomedical and Health Informatics,IEEE JBHI,医学,二区TOP,一区TOP,6.8,659,IEEE,
8,NeuroImage,NeuroImage,医学,二区TOP,二区TOP,4.5,447,Elsevier,
9,IEEE Transactions on Consumer Electronics,IEEE TCE,计算机科学,二区,一区TOP,10.9,699,IEEE,自引率52.3%
10,Biomedical Signal Processing and Control,BSPC,医学,二区,二区TOP,4.9,1370,Elsevier,
11,IEEE Transactions on Biomedical Engineering,IEEE TBME,医学,二区,二区TOP,4.5,331,IEEE,
12,IEEE Transactions on Neural Systems and Rehabilitation Engineering,IEEE TNSRE,医学,二区,二区TOP,5.2,407,IEEE,
13,IEEE Transactions on Instrumentation and Measurement,IEEE TIM,工程技术,二区,二区TOP,5.9,2532,IEEE,
14,IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE TETCI,计算机科学,二区,二区,6.5,419,IEEE,
15,Computers in Biology and Medicine,CiBM,医学,二区,N/A,6.3,274,Elsevier,On Hold，2025年11月踢出SCI
16,CNS Neuroscience & Therapeutics,CNSNT,医学,二区,二区TOP,5,490,Wiley-Blackwell,
17,Journal of Neural Engineering,JNE,医学,三区,二区TOP,3.8,320,IOP Publishing,
18,IEEE Sensors Journal,IEEE SJ,综合性期刊,三区,二区,4.5,3965,IEEE,
19,IEEE Transactions on Cognitive and Development systems,IEEE TCDS,计算机科学,三区,二区,4.9,171,IEEE,
20,IEEE Journal of Translation Engineering in Health and Medicine,IEEE JTEHM,医学,三区,二区,4.4,69,IEEE,
21,Sensors,Sen.,综合性期刊,三区,三区,3.5,8165,MDPI,
22,Cogent Engineering,\,工程技术,四区,三区,2.5,356,Taylor & Francis,
23,Technologies,\,工程技术,三区,三区,3.6,262,MDPI,
24,Frontiers in Human Neuroscience,FHN,医学,四区,三区,2.7,462,Frontiers,
25,Computer Methods in Biomechanics and Biomedical Engineering,CMBBE,医学,四区,四区,1.6,229,Taylor & Francis,
26,Neuroscience,Neuroscience,医学,四区,四区,2.8,478,Elsevier,
27,Electronics,,计算机科学,四区,,2.6,5022,MDPI,
28,Signal Image and Video Processing,SIVP,计算机科学,四区,,2.1,634,Springer,
29,Biomedical Physics & Engineering Express,BPEE,医学,四区,,1.6,279,IOP Publishing,
